date,Adj Close
29/01/1993,25.122355
01/02/1993,25.30102
02/02/1993,25.354639
03/02/1993,25.622637
04/02/1993,25.729868
05/02/1993,25.71199
08/02/1993,25.71199
09/02/1993,25.533312
10/02/1993,25.56904
11/02/1993,25.694124
12/02/1993,25.49758
16/02/1993,24.854319
17/02/1993,24.836456
18/02/1993,24.818594
19/02/1993,24.907928
22/02/1993,24.997276
23/02/1993,24.979403
24/02/1993,25.30102
25/02/1993,25.354639
26/02/1993,25.390362
01/03/1993,25.318905
02/03/1993,25.694124
03/03/1993,25.801336
04/03/1993,25.658394
05/03/1993,25.58691
08/03/1993,26.158688
09/03/1993,26.06933
10/03/1993,26.12294
11/03/1993,26.051474
12/03/1993,25.78347
15/03/1993,25.908531
16/03/1993,25.908531
17/03/1993,25.747728
18/03/1993,25.908531
19/03/1993,25.869333
22/03/1993,25.725697
23/03/1993,25.779579
24/03/1993,25.779579
25/03/1993,25.94113
26/03/1993,25.797516
29/03/1993,25.905241
30/03/1993,25.977037
31/03/1993,25.959093
01/04/1993,25.869333
02/04/1993,25.330757
05/04/1993,25.456421
06/04/1993,25.384615
07/04/1993,25.474382
08/04/1993,25.438477
12/04/1993,25.797516
13/04/1993,25.851391
14/04/1993,25.815475
15/04/1993,25.815475
16/04/1993,25.815475
19/04/1993,25.707752
20/04/1993,25.582088
21/04/1993,25.564137
22/04/1993,25.241003
23/04/1993,25.133274
26/04/1993,24.935812
27/04/1993,25.205088
28/04/1993,25.151224
29/04/1993,25.258955
30/04/1993,25.294846
03/05/1993,25.456421
04/05/1993,25.546185
05/05/1993,25.617998
06/05/1993,25.528227
07/05/1993,25.474382
10/05/1993,25.528227
11/05/1993,25.63595
12/05/1993,25.600039
13/05/1993,25.294846
14/05/1993,25.276905
17/05/1993,25.366655
18/05/1993,25.348717
19/05/1993,25.869333
20/05/1993,25.94113
21/05/1993,25.707752
24/05/1993,25.815475
25/05/1993,25.869333
26/05/1993,26.192453
27/05/1993,26.102703
28/05/1993,25.977037
01/06/1993,26.228371
02/06/1993,26.192453
03/06/1993,26.102703
04/06/1993,26.012947
07/06/1993,25.923193
08/06/1993,25.6898
09/06/1993,25.779579
10/06/1993,25.797516
11/06/1993,25.905241
14/06/1993,25.869333
15/06/1993,25.815475
16/06/1993,25.869333
17/06/1993,25.959093
18/06/1993,25.745321
21/06/1993,25.799561
22/06/1993,25.817633
23/06/1993,25.582598
24/06/1993,25.926107
25/06/1993,25.908033
28/06/1993,26.197308
29/06/1993,26.070751
30/06/1993,26.070751
01/07/1993,25.998417
02/07/1993,25.853792
06/07/1993,25.582598
07/07/1993,25.654921
08/07/1993,25.944183
09/07/1993,26.016506
12/07/1993,25.998417
13/07/1993,25.980339
14/07/1993,26.070751
15/07/1993,25.962273
16/07/1993,25.889952
19/07/1993,25.871878
20/07/1993,25.944183
21/07/1993,25.926107
22/07/1993,25.745321
23/07/1993,25.871878
26/07/1993,26.016506
27/07/1993,25.998417
28/07/1993,25.944183
29/07/1993,26.088825
30/07/1993,25.944183
02/08/1993,26.016506
03/08/1993,26.034594
04/08/1993,26.034594
