date,Adj Close
18/04/2013,42.217251
19/04/2013,42.217251
22/04/2013,42.267788
23/04/2013,42.915962
24/04/2013,42.612911
25/04/2013,43.118008
26/04/2013,43.101162
29/04/2013,43.311626
30/04/2013,43.454727
01/05/2013,42.503479
02/05/2013,42.503479
03/05/2013,43.799862
06/05/2013,44.136597
07/05/2013,43.976658
08/05/2013,44.043999
09/05/2013,43.968246
10/05/2013,43.968246
13/05/2013,44.102943
14/05/2013,44.574352
15/05/2013,44.751129
16/05/2013,44.616444
17/05/2013,44.725876
20/05/2013,44.860577
21/05/2013,44.978424
22/05/2013,44.464905
23/05/2013,44.246044
24/05/2013,44.043999
28/05/2013,44.363903
29/05/2013,43.858803
30/05/2013,44.102943
31/05/2013,44.102943
03/06/2013,43.454727
04/06/2013,43.311626
05/06/2013,42.915962
06/06/2013,42.789688
07/06/2013,43.648365
10/06/2013,43.715698
11/06/2013,43.648365
12/06/2013,43.294785
13/06/2013,43.134834
14/06/2013,43.740952
17/06/2013,43.766216
18/06/2013,43.766216
19/06/2013,43.766216
20/06/2013,42.503479
21/06/2013,42.629745
24/06/2013,42.629745
25/06/2013,42.629745
26/06/2013,42.991741
27/06/2013,43.357769
28/06/2013,43.374683
01/07/2013,43.442307
02/07/2013,43.442307
03/07/2013,43.408485
05/07/2013,43.408485
08/07/2013,44.000225
09/07/2013,44.000225
10/07/2013,44.000225
11/07/2013,44.837109
12/07/2013,44.837109
15/07/2013,44.837109
16/07/2013,44.837109
17/07/2013,44.837109
18/07/2013,44.837109
19/07/2013,44.837109
22/07/2013,45.648647
23/07/2013,45.648647
24/07/2013,45.648647
25/07/2013,45.648647
26/07/2013,45.648647
29/07/2013,45.437321
30/07/2013,45.437321
31/07/2013,45.564129
01/08/2013,45.564129
02/08/2013,45.564129
05/08/2013,46.054424
06/08/2013,46.054424
07/08/2013,46.054424
08/08/2013,46.054424
09/08/2013,45.800816
12/08/2013,45.800816
13/08/2013,45.800816
14/08/2013,45.800816
15/08/2013,44.769485
16/08/2013,44.769485
19/08/2013,44.406002
20/08/2013,44.710308
21/08/2013,44.710308
22/08/2013,44.710308
23/08/2013,44.811768
26/08/2013,44.904743
27/08/2013,44.904743
28/08/2013,44.14394
29/08/2013,44.14394
30/08/2013,44.059402
03/09/2013,44.059402
04/09/2013,44.431351
05/09/2013,44.431351
06/09/2013,44.65115
09/09/2013,44.837109
10/09/2013,45.124546
11/09/2013,45.124546
12/09/2013,45.124546
13/09/2013,45.124546
16/09/2013,45.657104
17/09/2013,45.657104
18/09/2013,45.657104
19/09/2013,46.443272
20/09/2013,46.071335
23/09/2013,46.071335
24/09/2013,46.303272
25/09/2013,46.303272
26/09/2013,46.303272
27/09/2013,46.303272
30/09/2013,45.445171
01/10/2013,45.445171
02/10/2013,45.555603
03/10/2013,45.292244
04/10/2013,45.555603
07/10/2013,45.555603
08/10/2013,45.343216
09/10/2013,44.969379
10/10/2013,44.969379
11/10/2013,45.997421
14/10/2013,45.861481
15/10/2013,45.861481
16/10/2013,46.362732
17/10/2013,46.685577
18/10/2013,46.685577
21/10/2013,47.00845
22/10/2013,47.00845
23/10/2013,47.00845
24/10/2013,47.00845
25/10/2013,47.00845
28/10/2013,47.509701
29/10/2013,47.662632
30/10/2013,47.662632
31/10/2013,47.662632
01/11/2013,47.526688
04/11/2013,47.671124
05/11/2013,47.671124
06/11/2013,47.671124
07/11/2013,47.671124
08/11/2013,46.957458
11/11/2013,47.577663
12/11/2013,47.484219
13/11/2013,47.484219
14/11/2013,47.484219
15/11/2013,47.484219
18/11/2013,47.484219
19/11/2013,47.484219
20/11/2013,47.926006
21/11/2013,47.959999
22/11/2013,47.959999
25/11/2013,48.12991
26/11/2013,48.12991
27/11/2013,48.12991
29/11/2013,48.12991
02/12/2013,48.12991
03/12/2013,47.730595
